# ReginIDs HIDs  HosthaloID Mvir[3] Xc Yc Zc[4-6]  Rvir[7] fMhires[8] cNFW[9] Mgas200[10] M*200[11] M500[12] R500[13] fgas500[14] f*500[15]
2.400000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.433700000000000000e+15 5.004124598843699787e+05 5.004241083349499968e+05 5.004009008407599758e+05 1.833710000000000036e+03 9.982170000000000210e-01 5.232750000000000234e+00 1.932180000000000000e+14 1.630520000000000000e+13 1.073118750000000000e+15 1.222498599779280994e+03 1.181221902370452881e-01 1.298723276704549789e-02
2.500000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.054910000000000000e+15 5.006001702809699927e+05 5.003529655731300008e+05 5.003813909271999728e+05 1.655450000000000045e+03 9.985950000000000104e-01 2.986819999999999808e+00 1.377180000000000000e+14 1.078090000000000000e+13 7.203267187500000000e+14 1.071200293286710348e+03 1.182478666305541992e-01 1.125598978251218796e-02
2.600000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.458940000000000000e+15 5.005885826585000032e+05 5.005636336407699855e+05 5.007095485097200144e+05 1.844410000000000082e+03 9.983980000000000077e-01 3.561360000000000081e+00 1.913300000000000000e+14 1.645350000000000000e+13 8.894062500000000000e+14 1.148682086033519226e+03 1.313203424215316772e-01 1.172557659447193146e-02
2.700000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.401970000000000000e+15 5.003110680027300259e+05 5.004893498144299956e+05 5.002678546352700214e+05 1.820079999999999927e+03 9.982509999999999994e-01 1.560950000000000060e+01 1.920390000000000000e+14 1.515260000000000000e+13 1.009228359375000000e+15 1.197889011847154279e+03 1.264520436525344849e-01 1.177005749195814133e-02
2.800000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.172030000000000000e+15 5.007031934601900284e+05 5.004852064570100047e+05 5.005573378469700110e+05 1.714579999999999927e+03 9.978730000000000100e-01 5.199919999999999654e+00 1.580770000000000000e+14 1.344350000000000000e+13 7.109160156250000000e+14 1.066528999771227291e+03 1.207002103328704834e-01 1.319009810686111450e-02
2.900000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.362100000000000000e+15 5.003811853316699853e+05 5.005022806016600225e+05 5.005247242446599994e+05 1.802660000000000082e+03 9.982050000000000090e-01 6.354330000000000211e+01 1.917740000000000000e+14 1.559430000000000000e+13 9.377105468750000000e+14 1.168990986978617002e+03 1.354076862335205078e-01 1.306308992207050323e-02
3.000000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.390340000000000000e+15 5.004804099307300057e+05 5.003989093443899765e+05 5.005021691322299885e+05 1.815029999999999973e+03 9.981480000000000352e-01 3.991250000000000142e+01 2.032050000000000000e+14 1.433200000000000000e+13 9.991453906250000000e+14 1.193886481441655633e+03 1.255704909563064575e-01 1.149164419621229172e-02
3.100000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.232320000000000000e+15 5.004250798132499913e+05 5.004617327993600047e+05 5.005452659997100127e+05 1.743490000000000009e+03 9.982010000000000050e-01 3.374820000000000153e+00 1.717060000000000000e+14 1.381970000000000000e+13 8.172158593750000000e+14 1.116916894850079643e+03 1.262335926294326782e-01 1.243864279240369797e-02
3.200000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.326820000000000000e+15 5.002929587940599886e+05 5.004954953770100255e+05 5.003594245229400112e+05 1.786960000000000036e+03 9.982210000000000250e-01 2.463020000000000209e+00 1.761260000000000000e+14 1.497170000000000000e+13 7.824381250000000000e+14 1.100923823884040303e+03 1.274646222591400146e-01 1.176144462078809738e-02
3.300000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.296120000000000000e+15 5.004455732262699748e+05 5.005142239556799759e+05 5.003570508265799726e+05 1.773069999999999936e+03 9.978960000000000052e-01 5.034270000000000245e+00 1.697200000000000000e+14 1.363710000000000000e+13 8.636435156250000000e+14 1.137540199677113378e+03 1.234580427408218384e-01 1.166633795946836472e-02
3.400000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.408500000000000000e+15 5.003344741273400141e+05 5.004495488836399745e+05 5.005499463554800022e+05 1.822900000000000091e+03 9.981459999999999777e-01 8.164389999999999148e+00 1.830530000000000000e+14 1.543520000000000000e+13 9.248021093750000000e+14 1.163638782341314482e+03 1.314427554607391357e-01 1.161161903291940689e-02
3.500000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.268950000000000000e+15 5.002567281528399908e+05 5.004890932580200024e+05 5.004022173829100211e+05 1.760599999999999909e+03 9.982879999999999532e-01 5.735649999999999693e+00 1.751750000000000000e+14 1.367870000000000000e+13 8.263311718750000000e+14 1.121027638489970059e+03 1.274400353431701660e-01 1.163565088063478470e-02
3.600000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.289120000000000000e+15 5.004138632824500091e+05 5.002307618063599803e+05 5.004645299398200004e+05 1.769880000000000109e+03 9.976369999999999960e-01 1.015210000000000079e+01 1.669510000000000000e+14 1.420280000000000000e+13 9.146078125000000000e+14 1.159380370742730747e+03 1.217020973563194275e-01 1.190199516713619232e-02
3.700000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.265190000000000000e+15 5.004640944205899723e+05 5.004231476544300094e+05 5.005569677783899824e+05 1.758859999999999900e+03 9.984290000000000109e-01 3.627019999999999911e+00 1.553380000000000000e+14 1.381130000000000000e+13 8.519593750000000000e+14 1.132434237661185762e+03 1.208145096898078918e-01 1.270931027829647064e-02
3.800000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 6.261920000000000000e+14 5.004318275039999862e+05 5.003272037711900193e+05 5.007544361430099816e+05 1.391279999999999973e+03 9.976519999999999833e-01 6.452709999999999724e+00 8.665630000000000000e+13 6.337030000000000000e+12 4.165108984375000000e+14 8.937925531319281163e+02 1.173484846949577332e-01 1.248570904135704041e-02
3.900000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.237070000000000000e+15 5.006091341580399894e+05 5.004387048825799720e+05 5.005521292555800173e+05 1.745730000000000018e+03 9.984779999999999767e-01 2.948770000000000113e+00 1.755950000000000000e+14 1.478330000000000000e+13 7.918700000000000000e+14 1.105301027305527441e+03 1.351418197154998779e-01 1.431910227984189987e-02
4.000000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.140370000000000000e+15 5.003694600315500284e+05 5.003563694415600039e+05 5.005953020306000253e+05 1.699000000000000000e+03 9.982210000000000250e-01 2.398849999999999927e+00 1.472280000000000000e+14 1.334430000000000000e+13 6.804956250000000000e+14 1.051187740039684059e+03 1.179001331329345703e-01 1.382862310856580734e-02
4.100000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.314490000000000000e+15 5.003710062782100285e+05 5.003307929394799867e+05 5.004702749808899825e+05 1.781410000000000082e+03 9.981489999999999529e-01 9.443300000000000693e+00 1.823060000000000000e+14 1.349890000000000000e+13 9.592877343750000000e+14 1.177874671054138389e+03 1.284073293209075928e-01 1.157403178513050079e-02
4.200000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.252180000000000000e+15 5.004289190648000222e+05 5.002283999475400196e+05 5.003302976236499962e+05 1.752809999999999945e+03 9.984589999999999854e-01 2.783869999999999845e+00 1.649190000000000000e+14 1.419290000000000000e+13 7.270655468750000000e+14 1.074492105358172466e+03 1.289542019367218018e-01 1.265689171850681305e-02
4.300000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.263770000000000000e+15 5.002662823504200205e+05 5.003313190184999839e+05 5.003515733968500281e+05 1.758190000000000055e+03 9.984769999999999479e-01 4.535090000000000288e+00 1.566010000000000000e+14 1.509410000000000000e+13 9.140025781250000000e+14 1.159150768760820938e+03 1.188405677676200867e-01 1.237783022224903107e-02
4.400000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.246990000000000000e+15 5.005350472025300260e+05 5.004232301441400195e+05 5.004143970848500030e+05 1.750380000000000109e+03 9.980189999999999895e-01 4.820120000000000182e+00 1.512060000000000000e+14 1.449780000000000000e+13 8.251653125000000000e+14 1.120515621831919816e+03 1.111867725849151611e-01 1.218067202717065811e-02
4.500000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.067560000000000000e+15 5.004655539271300077e+05 5.006156779197300202e+05 5.004893584423799766e+05 1.662049999999999955e+03 9.983940000000000037e-01 9.033659999999999357e+00 1.548610000000000000e+14 1.166040000000000000e+13 6.507048828125000000e+14 1.035746290704466674e+03 1.265795975923538208e-01 1.233393047004938126e-02
4.600000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.178050000000000000e+15 5.002456928181999829e+05 5.004498026670700056e+05 5.004552825286900043e+05 1.717509999999999991e+03 9.977260000000000018e-01 3.991629999999999967e+01 1.513040000000000000e+14 1.360170000000000000e+13 7.466755468750000000e+14 1.083993857389598588e+03 1.191935837268829346e-01 1.307012047618627548e-02
4.700000000000000000e+01 1.280000000000020000e+14 0.000000000000000000e+00 4.707530000000000000e+14 5.004806818691599765e+05 5.005267292049800162e+05 5.005150023081600084e+05 1.016090000000000032e+03 9.987479999999999691e-01 2.328710000000000058e+00 6.030790000000000000e+13 5.804070000000000000e+12 4.239439453125000000e+14 8.990320277925894743e+02 1.146838665008544922e-01 1.174025051295757294e-02
4.800000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.194900000000000000e+15 5.003524720668799710e+05 5.003699527846400160e+05 5.002437035242699785e+05 1.725660000000000082e+03 9.983079999999999732e-01 2.636870000000000047e+00 1.708710000000000000e+14 1.250950000000000000e+13 7.457732031250000000e+14 1.083545195730235264e+03 1.329469084739685059e-01 1.109575573354959488e-02
4.900000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.152160000000000000e+15 5.001742303371399757e+05 5.005779236555100069e+05 5.005773037671999773e+05 1.704839999999999918e+03 9.982480000000000242e-01 3.574040000000000106e+00 1.378410000000000000e+14 1.308910000000000000e+13 7.592260156250000000e+14 1.090050340838972943e+03 1.136043965816497803e-01 1.303094718605279922e-02
5.000000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.142180000000000000e+15 5.002338602429300081e+05 5.003756667886499781e+05 5.004798500310800155e+05 1.699900000000000091e+03 9.976310000000000455e-01 3.309159999999999879e+00 1.421370000000000000e+14 1.315020000000000000e+13 7.438350781250000000e+14 1.082636903805296242e+03 1.176500692963600159e-01 1.357710082083940506e-02
5.100000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.157360000000000000e+15 5.003266160025799763e+05 5.004774398903400288e+05 5.006867851141300052e+05 1.707390000000000100e+03 9.981809999999999850e-01 3.587470000000000159e+00 1.451350000000000000e+14 1.268050000000000000e+13 7.168314062500000000e+14 1.069492587504550784e+03 1.127687841653823853e-01 1.161509193480014801e-02
5.200000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.173020000000000000e+15 5.004701795548999798e+05 5.005570688146200264e+05 5.005088457582899719e+05 1.715059999999999945e+03 9.976679999999999993e-01 5.139479999999999826e+00 1.660630000000000000e+14 1.275690000000000000e+13 8.235009375000000000e+14 1.119731119629594787e+03 1.282698959112167358e-01 1.165708061307668686e-02
5.300000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 9.533840000000000000e+14 5.001883661172499997e+05 5.003786306065199897e+05 5.003187677946399781e+05 1.600539999999999964e+03 9.983539999999999637e-01 -1.000000000000000000e+00 1.334150000000000000e+14 1.016230000000000000e+13 6.310844921875000000e+14 1.025316168168048080e+03 1.238928437232971191e-01 1.294113788753747940e-02
5.400000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.198810000000000000e+15 5.003306153606899898e+05 5.003464802148499875e+05 5.006094917337900260e+05 1.727539999999999964e+03 9.984600000000000142e-01 3.762080000000000091e+00 1.595710000000000000e+14 1.371870000000000000e+13 7.991044531250000000e+14 1.108628899814298620e+03 1.278390735387802124e-01 1.214901637285947800e-02
5.500000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.105000000000000000e+15 5.004076415842199931e+05 5.002675056457499741e+05 5.004191669550799998e+05 1.681250000000000000e+03 9.983539999999999637e-01 2.901009999999999867e+00 1.459060000000000000e+14 1.251050000000000000e+13 7.069900781250000000e+14 1.064575761443181591e+03 1.233907192945480347e-01 1.239076163619756699e-02
5.600000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.154280000000000000e+15 5.005989753569400054e+05 5.005181751637199777e+05 5.005958289230900118e+05 1.705880000000000109e+03 9.983330000000000259e-01 5.850559999999999761e+00 1.599760000000000000e+14 1.265260000000000000e+13 7.801121875000000000e+14 1.099856063504889789e+03 1.252965331077575684e-01 1.233356259763240814e-02
5.700000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.237580000000000000e+15 4.995230930659499718e+05 5.009871411152799847e+05 5.005144229367700173e+05 1.745970000000000027e+03 9.981999999999999762e-01 4.688049999999999606e+00 1.697420000000000000e+14 1.311850000000000000e+13 9.062800000000000000e+14 1.155862882418550953e+03 1.371907144784927368e-01 1.178767159581184387e-02
5.800000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.084340000000000000e+15 5.004365948530299938e+05 5.004968475072800065e+05 5.004732517095700023e+05 1.670710000000000036e+03 9.984560000000000102e-01 2.586139999999999883e+00 1.393290000000000000e+14 1.204920000000000000e+13 6.908585937500000000e+14 1.056464965562076486e+03 1.215576380491256714e-01 1.247867848724126816e-02
5.900000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.155200000000000000e+15 5.004015188006800017e+05 5.000932155286599882e+05 5.001932294929699856e+05 1.706329999999999927e+03 9.981689999999999729e-01 7.934569999999999901e+00 1.535380000000000000e+14 1.241030000000000000e+13 7.673260937500000000e+14 1.093814683105984386e+03 1.339764147996902466e-01 1.210309937596321106e-02
6.000000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.192540000000000000e+15 5.004930466413500253e+05 5.002980430920899962e+05 5.004799256722099963e+05 1.724519999999999982e+03 9.984169999999999989e-01 3.519569999999999865e+00 1.589620000000000000e+14 1.307390000000000000e+13 7.887753906250000000e+14 1.103861938531254964e+03 1.284444779157638550e-01 1.214906480163335800e-02
6.100000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.153470000000000000e+15 5.005891029899200075e+05 5.004598649772399804e+05 5.004270231401600176e+05 1.705480000000000018e+03 9.981079999999999952e-01 5.802810000000000024e+00 1.550500000000000000e+14 1.364920000000000000e+13 8.470881250000000000e+14 1.130274361205844343e+03 1.310060322284698486e-01 1.247794553637504578e-02
6.200000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.093120000000000000e+15 5.005487685531500028e+05 5.002274765844200156e+05 4.991879169604100171e+05 1.675200000000000045e+03 9.985330000000000039e-01 4.496290000000000120e+00 1.357280000000000000e+14 1.221540000000000000e+13 7.904899218750000000e+14 1.104701497959813878e+03 1.164392456412315369e-01 1.252355333417654037e-02
6.300000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.175990000000000000e+15 5.003554700548099936e+05 5.006227096270999755e+05 5.005204565495700226e+05 1.716509999999999991e+03 9.986530000000000129e-01 2.577179999999999804e+00 1.524550000000000000e+14 1.213390000000000000e+13 6.727453125000000000e+14 1.047204204148165672e+03 1.243505775928497314e-01 1.080109830945730209e-02
6.400000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.040760000000000000e+15 5.004572232392600272e+05 5.006398543168400065e+05 5.004789914219700149e+05 1.648019999999999982e+03 9.986699999999999466e-01 2.328710000000000058e+00 1.295770000000000000e+14 1.216080000000000000e+13 5.728967578125000000e+14 9.930193843125430249e+02 1.179387569427490234e-01 1.345380023121833801e-02
6.500000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 9.534430000000000000e+14 5.004991341634599958e+05 5.004877433240200044e+05 5.005506041396699729e+05 1.600579999999999927e+03 9.969390000000000196e-01 2.329460000000000086e+00 1.271160000000000000e+14 1.064810000000000000e+13 5.161138281250000000e+14 9.593311203356308852e+02 1.169910207390785217e-01 1.152748614549636841e-02
6.600000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.026860000000000000e+15 5.003691865352499881e+05 5.001103949469599756e+05 5.005085766959100147e+05 1.640650000000000091e+03 9.983140000000000347e-01 1.496039999999999992e+01 1.437780000000000000e+14 1.135850000000000000e+13 7.139092187500000000e+14 1.068019640435887368e+03 1.225613728165626526e-01 1.290857791900634766e-02
6.700000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.135730000000000000e+15 5.003048102940099780e+05 5.003321186631100136e+05 5.003858434415499796e+05 1.696700000000000045e+03 9.980369999999999520e-01 1.040509999999999913e+01 1.542100000000000000e+14 1.242250000000000000e+13 7.758575781250000000e+14 1.097844140906182929e+03 1.242947056889533997e-01 1.200956944376230240e-02
6.800000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 9.339210000000000000e+14 5.006254895255099982e+05 5.003305830964099732e+05 5.006545996579700150e+05 1.589579999999999927e+03 9.980780000000000207e-01 4.393359999999999843e+01 1.283240000000000000e+14 1.045580000000000000e+13 5.660808593750000000e+14 9.890793768703380238e+02 1.301073282957077026e-01 1.273788139224052429e-02
6.900000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.079570000000000000e+15 5.003473079481800087e+05 5.005112133944900124e+05 5.004872378716800013e+05 1.668250000000000000e+03 9.979860000000000397e-01 5.452860000000000262e+00 1.499220000000000000e+14 1.156940000000000000e+13 6.704267968750000000e+14 1.046010619580484445e+03 1.246778070926666260e-01 1.201707683503627777e-02
7.000000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.115660000000000000e+15 5.003672404722700012e+05 5.004890452731699916e+05 5.006085074309100164e+05 1.686640000000000100e+03 9.977719999999999922e-01 2.039760000000000062e+01 1.466050000000000000e+14 1.286750000000000000e+13 7.606406250000000000e+14 1.090680920534358620e+03 1.219580546021461487e-01 1.250109914690256119e-02
7.100000000000000000e+01 1.280000000000010000e+14 0.000000000000000000e+00 1.079120000000000000e+15 5.005142823535599746e+05 5.001345057184000034e+05 5.004337086549800006e+05 1.668019999999999982e+03 9.983290000000000219e-01 3.627019999999999911e+00 1.397060000000000000e+14 1.209380000000000000e+13 7.137589062500000000e+14 1.067932305577278839e+03 1.235383003950119019e-01 1.271813083440065384e-02
