# Omega_m=0.28 Omega_lambda=0.72 H_0=70 
# ------------------------------------------------------------
# Mtrue      : true mass within r_{500}^{true}
# Ms         : stellar mass within r_{500}^{true}
# Mg         : gas mass within r_{500}^{true}
# Mbcg       : bcg stellar mass
# ------------------------------------------------------------
# MsE(z)     : bestfit of MsE(z) relation [h_{70}^{-1}Msun]
# MsE(z)_p   : upper limit of MsE(z) relation [h_{70}^{-1}Msun]
# MsE(z)_m   : lower limit of MsE(z) relation [h_{70}^{-1}Msun]
# MgE(z)     : bestfit of MgE(z) relation [h_{70}^{-1}Msun]
# MgE(z)_p   : upper limit of MgE(z) relation [h_{70}^{-1}Msun]
# MgE(z)_m   : lower limit of MgE(z) relation [h_{70}^{-1}Msun]
# MbcgE(z)   : bestfit of MbcgE(z) relation [h_{70}^{-1}Msun]
# MbcgE(z)_p : upper limit of MbcgE(z) relation [h_{70}^{-1}Msun]
# MbcgE(z)_m : lower limit of MbcgE(z) relation [h_{70}^{-1}Msun]
# ------------------------------------------------------------
# MtrueE(z) MsE(z) MsE(z)_p MsE(z)_m MgE(z) MgE(z)_p MgE(z)_m MbcgE(z) MbcgE(z)_p MbcgE(z)_m
1.493246e+12 6.447277e+10 9.265783e+10 4.013789e+10 3.479684e+10 5.097677e+10 1.861692e+10 5.125323e+10 7.477044e+10 3.284207e+10
1.511603e+12 6.513661e+10 9.350840e+10 4.061377e+10 3.534321e+10 5.173052e+10 1.895591e+10 5.156026e+10 7.512872e+10 3.308975e+10
1.530186e+12 6.580727e+10 9.436685e+10 4.109518e+10 3.589815e+10 5.249540e+10 1.930090e+10 5.186913e+10 7.548878e+10 3.333919e+10
1.548997e+12 6.648484e+10 9.523324e+10 4.158219e+10 3.646180e+10 5.327160e+10 1.965199e+10 5.217984e+10 7.585064e+10 3.359041e+10
1.568039e+12 6.716936e+10 9.610765e+10 4.207485e+10 3.703428e+10 5.405926e+10 2.000930e+10 5.249242e+10 7.621432e+10 3.384342e+10
1.587315e+12 6.786093e+10 9.699016e+10 4.257324e+10 3.761575e+10 5.485857e+10 2.037292e+10 5.280688e+10 7.657980e+10 3.409822e+10
1.606828e+12 6.855962e+10 9.788083e+10 4.307741e+10 3.820633e+10 5.566969e+10 2.074297e+10 5.312321e+10 7.694712e+10 3.435484e+10
1.626582e+12 6.926548e+10 9.877976e+10 4.358744e+10 3.880618e+10 5.649280e+10 2.111956e+10 5.344144e+10 7.731626e+10 3.461328e+10
1.646578e+12 6.997861e+10 9.968701e+10 4.410340e+10 3.941544e+10 5.732808e+10 2.150281e+10 5.376158e+10 7.768726e+10 3.487356e+10
1.666819e+12 7.069907e+10 1.006027e+11 4.462534e+10 4.003426e+10 5.817570e+10 2.189282e+10 5.408363e+10 7.806011e+10 3.513569e+10
1.687310e+12 7.142694e+10 1.015268e+11 4.515335e+10 4.066278e+10 5.903584e+10 2.228972e+10 5.440762e+10 7.843482e+10 3.539969e+10
1.708052e+12 7.216229e+10 1.024595e+11 4.568748e+10 4.130116e+10 5.990870e+10 2.269362e+10 5.473354e+10 7.881140e+10 3.566556e+10
1.729050e+12 7.290521e+10 1.034008e+11 4.622782e+10 4.194956e+10 6.079446e+10 2.310466e+10 5.506142e+10 7.918987e+10 3.593332e+10
1.750306e+12 7.365577e+10 1.043509e+11 4.677442e+10 4.260812e+10 6.169330e+10 2.352294e+10 5.539126e+10 7.957023e+10 3.620298e+10
1.771823e+12 7.441404e+10 1.053097e+11 4.732737e+10 4.327701e+10 6.260542e+10 2.394860e+10 5.572308e+10 7.995250e+10 3.647456e+10
1.793604e+12 7.518011e+10 1.062774e+11 4.788674e+10 4.395639e+10 6.353103e+10 2.438176e+10 5.605688e+10 8.033668e+10 3.674807e+10
1.815653e+12 7.595406e+10 1.072541e+11 4.845260e+10 4.464643e+10 6.447030e+10 2.482256e+10 5.639269e+10 8.072278e+10 3.702353e+10
1.837973e+12 7.673597e+10 1.082399e+11 4.902502e+10 4.534729e+10 6.542346e+10 2.527113e+10 5.673050e+10 8.111081e+10 3.730094e+10
1.860568e+12 7.752592e+10 1.092348e+11 4.960408e+10 4.605915e+10 6.639069e+10 2.572760e+10 5.707034e+10 8.150078e+10 3.758032e+10
1.883440e+12 7.832399e+10 1.102389e+11 5.018986e+10 4.678216e+10 6.737222e+10 2.619211e+10 5.741222e+10 8.189271e+10 3.786169e+10
1.906594e+12 7.913027e+10 1.112523e+11 5.078243e+10 4.751652e+10 6.836824e+10 2.666479e+10 5.775614e+10 8.228660e+10 3.814506e+10
1.930032e+12 7.994483e+10 1.122751e+11 5.138188e+10 4.826239e+10 6.937898e+10 2.714580e+10 5.810213e+10 8.268246e+10 3.843044e+10
1.953759e+12 8.076778e+10 1.133073e+11 5.198828e+10 4.901996e+10 7.040465e+10 2.763527e+10 5.845018e+10 8.308030e+10 3.871784e+10
1.977777e+12 8.159918e+10 1.143492e+11 5.260171e+10 4.978941e+10 7.144547e+10 2.813335e+10 5.880032e+10 8.348014e+10 3.900729e+10
2.002090e+12 8.243913e+10 1.154007e+11 5.322225e+10 5.057092e+10 7.250166e+10 2.864018e+10 5.915256e+10 8.388198e+10 3.929880e+10
2.026702e+12 8.328772e+10 1.164619e+11 5.384998e+10 5.136469e+10 7.357345e+10 2.915594e+10 5.950691e+10 8.428584e+10 3.959237e+10
2.051617e+12 8.414504e+10 1.175330e+11 5.448500e+10 5.217091e+10 7.466107e+10 2.968075e+10 5.986338e+10 8.469172e+10 3.988803e+10
2.076838e+12 8.501116e+10 1.186140e+11 5.512737e+10 5.298977e+10 7.576475e+10 3.021479e+10 6.022199e+10 8.509963e+10 4.018579e+10
2.102369e+12 8.588620e+10 1.197050e+11 5.577718e+10 5.382147e+10 7.688473e+10 3.075821e+10 6.058275e+10 8.550959e+10 4.048566e+10
2.128214e+12 8.677023e+10 1.208062e+11 5.643453e+10 5.466621e+10 7.802125e+10 3.131117e+10 6.094566e+10 8.592160e+10 4.078766e+10
2.154376e+12 8.766335e+10 1.219176e+11 5.709950e+10 5.552420e+10 7.917455e+10 3.187385e+10 6.131075e+10 8.633568e+10 4.109181e+10
2.180861e+12 8.856565e+10 1.230392e+11 5.777217e+10 5.639564e+10 8.034488e+10 3.244640e+10 6.167803e+10 8.675183e+10 4.139812e+10
2.207671e+12 8.947722e+10 1.241713e+11 5.845263e+10 5.728075e+10 8.153249e+10 3.302900e+10 6.204751e+10 8.717008e+10 4.170660e+10
2.234810e+12 9.039817e+10 1.253139e+11 5.914097e+10 5.817973e+10 8.273764e+10 3.362182e+10 6.241920e+10 8.759042e+10 4.201727e+10
2.262283e+12 9.132859e+10 1.264670e+11 5.983729e+10 5.909281e+10 8.396057e+10 3.422504e+10 6.279312e+10 8.801287e+10 4.233014e+10
2.290094e+12 9.226857e+10 1.276309e+11 6.054168e+10 6.002020e+10 8.520156e+10 3.483884e+10 6.316927e+10 8.843744e+10 4.264524e+10
2.318246e+12 9.321822e+10 1.288055e+11 6.125422e+10 6.096214e+10 8.646087e+10 3.546340e+10 6.354769e+10 8.886415e+10 4.296257e+10
2.346745e+12 9.417763e+10 1.299911e+11 6.197501e+10 6.191884e+10 8.773877e+10 3.609891e+10 6.392836e+10 8.929299e+10 4.328215e+10
2.375594e+12 9.514690e+10 1.311877e+11 6.270415e+10 6.289054e+10 8.903554e+10 3.674555e+10 6.431132e+10 8.972399e+10 4.360401e+10
2.404798e+12 9.612613e+10 1.323953e+11 6.344173e+10 6.387748e+10 9.035144e+10 3.740352e+10 6.469657e+10 9.015716e+10 4.392814e+10
2.434361e+12 9.711543e+10 1.336142e+11 6.418785e+10 6.487989e+10 9.168676e+10 3.807302e+10 6.508413e+10 9.059250e+10 4.425458e+10
2.464287e+12 9.811490e+10 1.348443e+11 6.494261e+10 6.589802e+10 9.304179e+10 3.875424e+10 6.547401e+10 9.103002e+10 4.458333e+10
2.494581e+12 9.912465e+10 1.360859e+11 6.570610e+10 6.693210e+10 9.441682e+10 3.944738e+10 6.586623e+10 9.146975e+10 4.491441e+10
2.525248e+12 1.001448e+11 1.373390e+11 6.647843e+10 6.798240e+10 9.581214e+10 4.015266e+10 6.626080e+10 9.191168e+10 4.524784e+10
2.556291e+12 1.011754e+11 1.386038e+11 6.725970e+10 6.904917e+10 9.722805e+10 4.087028e+10 6.665773e+10 9.235584e+10 4.558364e+10
2.587716e+12 1.022166e+11 1.398802e+11 6.805001e+10 7.013265e+10 9.866485e+10 4.160045e+10 6.705704e+10 9.280222e+10 4.592182e+10
2.619528e+12 1.032685e+11 1.411686e+11 6.884947e+10 7.123312e+10 1.001229e+11 4.234340e+10 6.745874e+10 9.325086e+10 4.626240e+10
2.651730e+12 1.043312e+11 1.424688e+11 6.965817e+10 7.235085e+10 1.016024e+11 4.309933e+10 6.786284e+10 9.370175e+10 4.660539e+10
2.684328e+12 1.054049e+11 1.437812e+11 7.047624e+10 7.348609e+10 1.031037e+11 4.386848e+10 6.826937e+10 9.415490e+10 4.695082e+10
2.717328e+12 1.064895e+11 1.451057e+11 7.130376e+10 7.463913e+10 1.046272e+11 4.465108e+10 6.867833e+10 9.461034e+10 4.729869e+10
2.750732e+12 1.075854e+11 1.464425e+11 7.214086e+10 7.581025e+10 1.061731e+11 4.544734e+10 6.908975e+10 9.506807e+10 4.764903e+10
2.784548e+12 1.086925e+11 1.477918e+11 7.298764e+10 7.699972e+10 1.077419e+11 4.625752e+10 6.950362e+10 9.552810e+10 4.800186e+10
2.818779e+12 1.098109e+11 1.491535e+11 7.384421e+10 7.820783e+10 1.093338e+11 4.708186e+10 6.991998e+10 9.599045e+10 4.835719e+10
2.853431e+12 1.109409e+11 1.505280e+11 7.471069e+10 7.943488e+10 1.109492e+11 4.792058e+10 7.033883e+10 9.645512e+10 4.871503e+10
2.888509e+12 1.120825e+11 1.519151e+11 7.558719e+10 8.068117e+10 1.125884e+11 4.877395e+10 7.076019e+10 9.692213e+10 4.907542e+10
2.924018e+12 1.132358e+11 1.533152e+11 7.647383e+10 8.194699e+10 1.142518e+11 4.964221e+10 7.118407e+10 9.739150e+10 4.943835e+10
2.959963e+12 1.144009e+11 1.547283e+11 7.737071e+10 8.323265e+10 1.159397e+11 5.052563e+10 7.161050e+10 9.786323e+10 4.980387e+10
2.996351e+12 1.155781e+11 1.561544e+11 7.827797e+10 8.453846e+10 1.176525e+11 5.142446e+10 7.203947e+10 9.833733e+10 5.017197e+10
3.033186e+12 1.167673e+11 1.575939e+11 7.919571e+10 8.586474e+10 1.193905e+11 5.233897e+10 7.247102e+10 9.881383e+10 5.054268e+10
3.070473e+12 1.179688e+11 1.590467e+11 8.012406e+10 8.721180e+10 1.211542e+11 5.326942e+10 7.290515e+10 9.929272e+10 5.091601e+10
3.108220e+12 1.191826e+11 1.605130e+11 8.106314e+10 8.857998e+10 1.229439e+11 5.421610e+10 7.334189e+10 9.977403e+10 5.129200e+10
3.146430e+12 1.204089e+11 1.619929e+11 8.201307e+10 8.996960e+10 1.247599e+11 5.517929e+10 7.378123e+10 1.002578e+11 5.167064e+10
3.185109e+12 1.216477e+11 1.634866e+11 8.297399e+10 9.138100e+10 1.266027e+11 5.615926e+10 7.422322e+10 1.007439e+11 5.205197e+10
3.224265e+12 1.228994e+11 1.649941e+11 8.394600e+10 9.281451e+10 1.284727e+11 5.715630e+10 7.466784e+10 1.012326e+11 5.243600e+10
3.263901e+12 1.241638e+11 1.665157e+11 8.492925e+10 9.427050e+10 1.303703e+11 5.817072e+10 7.511514e+10 1.017237e+11 5.282276e+10
3.304025e+12 1.254413e+11 1.680514e+11 8.592386e+10 9.574930e+10 1.322958e+11 5.920281e+10 7.556511e+10 1.022172e+11 5.321225e+10
3.344642e+12 1.267319e+11 1.696013e+11 8.692996e+10 9.725127e+10 1.342497e+11 6.025287e+10 7.601778e+10 1.027133e+11 5.360450e+10
3.385759e+12 1.280358e+11 1.711657e+11 8.794768e+10 9.877678e+10 1.362324e+11 6.132121e+10 7.647315e+10 1.032118e+11 5.399953e+10
3.427381e+12 1.293530e+11 1.727446e+11 8.897715e+10 1.003262e+11 1.382443e+11 6.240815e+10 7.693126e+10 1.037129e+11 5.439735e+10
3.469515e+12 1.306838e+11 1.743382e+11 9.001852e+10 1.018999e+11 1.402858e+11 6.351401e+10 7.739211e+10 1.042165e+11 5.479800e+10
3.512166e+12 1.320283e+11 1.759466e+11 9.107191e+10 1.034983e+11 1.423574e+11 6.463911e+10 7.785572e+10 1.047227e+11 5.520148e+10
3.555342e+12 1.333866e+11 1.775700e+11 9.213747e+10 1.051217e+11 1.444595e+11 6.578378e+10 7.832211e+10 1.052314e+11 5.560782e+10
3.599049e+12 1.347588e+11 1.792084e+11 9.321534e+10 1.067705e+11 1.465926e+11 6.694836e+10 7.879129e+10 1.057427e+11 5.601704e+10
3.643293e+12 1.361452e+11 1.808621e+11 9.430565e+10 1.084452e+11 1.487572e+11 6.813320e+10 7.926329e+10 1.062565e+11 5.642915e+10
3.688081e+12 1.375458e+11 1.825312e+11 9.540855e+10 1.101461e+11 1.509536e+11 6.933864e+10 7.973811e+10 1.067730e+11 5.684418e+10
3.733419e+12 1.389607e+11 1.842157e+11 9.652418e+10 1.118737e+11 1.531823e+11 7.056503e+10 8.021577e+10 1.072920e+11 5.726215e+10
3.779315e+12 1.403903e+11 1.859160e+11 9.765269e+10 1.136283e+11 1.554439e+11 7.181274e+10 8.069630e+10 1.078137e+11 5.768308e+10
3.825775e+12 1.418345e+11 1.876320e+11 9.879423e+10 1.154104e+11 1.577388e+11 7.308214e+10 8.117971e+10 1.083381e+11 5.810699e+10
3.872806e+12 1.432935e+11 1.893640e+11 9.994895e+10 1.172205e+11 1.600674e+11 7.437358e+10 8.166601e+10 1.088650e+11 5.853389e+10
3.920415e+12 1.447675e+11 1.911122e+11 1.011170e+11 1.190589e+11 1.624304e+11 7.568746e+10 8.215522e+10 1.093947e+11 5.896382e+10
3.968610e+12 1.462567e+11 1.928765e+11 1.022985e+11 1.209261e+11 1.648281e+11 7.702416e+10 8.264737e+10 1.099270e+11 5.939679e+10
4.017397e+12 1.477612e+11 1.946573e+11 1.034937e+11 1.228226e+11 1.672611e+11 7.838407e+10 8.314246e+10 1.104620e+11 5.983283e+10
4.066784e+12 1.492811e+11 1.964547e+11 1.047026e+11 1.247488e+11 1.697300e+11 7.976760e+10 8.364052e+10 1.109997e+11 6.027195e+10
4.116778e+12 1.508167e+11 1.982688e+11 1.059255e+11 1.267052e+11 1.722352e+11 8.117513e+10 8.414156e+10 1.115402e+11 6.071418e+10
